day_time,temperature,probability to rain,weather description,cid
2023-05-11 14:00:00,13.12,0.41,light rain,25
2023-05-12 14:00:00,16.97,0.0,clear sky,25
2023-05-06 13:00:00,24.03,0.96,moderate rain,26
2023-05-07 13:00:00,16.86,1.0,moderate rain,26
2023-05-08 13:00:00,18.96,0.02,overcast clouds,26
2023-05-09 13:00:00,14.2,1.0,light rain,26
2023-05-10 13:00:00,18.08,1.0,light rain,26
2023-05-11 13:00:00,13.17,0.96,light rain,26
2023-05-12 13:00:00,16.77,0.36,light rain,26
2023-05-06 13:00:00,24.59,0.03,scattered clouds,27
2023-05-07 13:00:00,23.63,0.12,overcast clouds,27
2023-05-08 13:00:00,26.09,0.0,scattered clouds,27
2023-05-09 13:00:00,24.39,0.74,light rain,27
2023-05-10 13:00:00,23.52,0.17,broken clouds,27
2023-05-11 13:00:00,19.68,0.0,broken clouds,27
2023-05-12 13:00:00,19.13,0.11,overcast clouds,27
2023-05-06 13:00:00,17.96,0.45,overcast clouds,28
2023-05-07 13:00:00,17.84,0.79,light rain,28
2023-05-08 13:00:00,20.91,0.32,light rain,28
2023-05-09 13:00:00,15.41,1.0,moderate rain,28
2023-05-10 13:00:00,17.76,1.0,light rain,28
2023-05-11 13:00:00,16.48,0.97,light rain,28
2023-05-12 13:00:00,18.02,0.0,clear sky,28
2023-05-06 13:00:00,12.87,0.93,moderate rain,29
2023-05-07 13:00:00,17.14,0.08,broken clouds,29
2023-05-08 13:00:00,16.64,1.0,moderate rain,29
2023-05-09 13:00:00,17.18,1.0,moderate rain,29
2023-05-10 13:00:00,15.85,0.98,light rain,29
2023-05-11 13:00:00,15.07,0.37,light rain,29
2023-05-12 13:00:00,16.32,0.0,clear sky,29
2023-05-06 13:00:00,18.64,0.0,scattered clouds,30
2023-05-07 13:00:00,19.83,0.14,overcast clouds,30
2023-05-08 13:00:00,23.02,0.0,broken clouds,30
2023-05-09 13:00:00,20.0,0.42,light rain,30
2023-05-10 13:00:00,20.54,0.24,scattered clouds,30
2023-05-11 13:00:00,19.22,0.06,broken clouds,30
2023-05-12 13:00:00,18.16,0.26,light rain,30
2023-05-06 14:00:00,16.27,1.0,moderate rain,31
2023-05-07 14:00:00,14.67,0.5,broken clouds,31
2023-05-08 14:00:00,15.4,1.0,moderate rain,31
2023-05-09 14:00:00,14.34,1.0,light rain,31
2023-05-10 14:00:00,13.12,0.3,light rain,31
2023-05-11 14:00:00,12.62,0.28,light rain,31
2023-05-12 14:00:00,14.32,0.2,light rain,31
2023-05-06 13:00:00,19.94,0.13,broken clouds,32
2023-05-07 13:00:00,20.16,1.0,light rain,32
2023-05-08 13:00:00,20.25,1.0,light rain,32
2023-05-09 13:00:00,14.98,1.0,moderate rain,32
2023-05-10 13:00:00,16.69,1.0,moderate rain,32
2023-05-11 13:00:00,14.22,1.0,moderate rain,32
2023-05-12 13:00:00,13.88,0.73,light rain,32
2023-05-06 13:00:00,23.49,0.78,light rain,33
2023-05-07 13:00:00,16.19,1.0,moderate rain,33
2023-05-08 13:00:00,19.18,0.24,light rain,33
2023-05-09 13:00:00,15.17,1.0,moderate rain,33
2023-05-10 13:00:00,17.83,1.0,moderate rain,33
2023-05-11 13:00:00,13.54,0.98,light rain,33
2023-05-12 13:00:00,16.13,0.64,light rain,33
2023-05-06 13:00:00,24.17,0.12,scattered clouds,34
2023-05-07 13:00:00,22.61,0.08,overcast clouds,34
2023-05-08 13:00:00,24.9,0.0,scattered clouds,34
2023-05-09 13:00:00,23.55,0.8,light rain,34
2023-05-10 13:00:00,22.7,0.18,broken clouds,34
2023-05-11 13:00:00,18.8,0.0,broken clouds,34
2023-05-12 13:00:00,17.98,0.06,broken clouds,34
